temperature_c,humidity_pct,rainfall_mm,estimated_soil_moisture_pct,soil_type,growth_stage,irrigation_label
27.0,91.6,0.0,77.2,clay,seedling,LOW
18.5,92.9,0.0,54.4,sandy,flowering,LOW
28.4,45.4,0.0,74.4,sandy,vegetative,MEDIUM
22.8,61.0,0.0,39.2,sandy,seedling,HIGH
34.4,55.8,10.0,67.1,clay,seedling,LOW
25.5,61.4,3.0,65.4,clay,fruiting,LOW
20.1,38.7,0.0,41.7,sandy,seedling,HIGH
24.7,63.0,16.9,51.3,sandy,vegetative,LOW
18.1,82.1,0.0,34.9,sandy,seedling,MEDIUM
38.7,68.6,0.0,56.4,clay,vegetative,MEDIUM
39.3,58.1,0.0,40.8,clay,fruiting,HIGH
30.5,54.9,0.6,48.8,sandy,fruiting,MEDIUM
39.8,42.5,0.0,26.6,clay,flowering,MEDIUM
40.3,81.6,0.0,42.6,sandy,vegetative,HIGH
37.4,87.7,0.0,47.9,clay,fruiting,MEDIUM
18.2,60.8,0.0,47.1,loamy,flowering,MEDIUM
30.5,74.2,0.0,12.2,sandy,vegetative,HIGH
24.8,27.6,0.0,46.5,loamy,seedling,MEDIUM
21.5,59.3,4.9,68.2,sandy,fruiting,LOW
26.8,69.3,10.4,39.4,sandy,flowering,LOW
19.0,66.4,0.0,30.9,loamy,flowering,MEDIUM
34.6,52.1,0.0,58.9,sandy,fruiting,MEDIUM
37.6,63.9,7.4,53.0,clay,seedling,MEDIUM
26.1,49.4,3.8,40.1,loamy,seedling,MEDIUM
21.9,87.9,3.2,86.2,clay,flowering,LOW
33.6,40.7,3.7,65.1,clay,flowering,MEDIUM
33.8,64.8,0.0,43.3,clay,vegetative,MEDIUM
39.4,69.2,0.0,52.6,clay,seedling,MEDIUM
24.7,26.7,38.5,76.8,sandy,vegetative,LOW
18.4,90.0,14.7,46.5,loamy,seedling,LOW
38.4,47.2,1.3,27.0,sandy,seedling,HIGH
32.8,94.3,1.1,65.7,loamy,flowering,MEDIUM
26.6,45.6,13.1,68.8,loamy,flowering,LOW
37.2,70.5,0.0,28.8,sandy,flowering,HIGH
31.9,27.5,0.0,37.4,loamy,vegetative,HIGH
21.0,61.6,0.0,50.8,clay,flowering,LOW
31.0,69.6,0.0,34.5,clay,seedling,MEDIUM
28.5,30.5,0.6,26.8,clay,vegetative,MEDIUM
21.8,42.5,0.0,88.2,clay,vegetative,LOW
28.1,42.3,0.0,56.1,sandy,fruiting,HIGH
29.4,31.8,0.0,76.8,loamy,flowering,MEDIUM
33.2,28.2,11.3,36.4,clay,vegetative,LOW
19.7,70.0,0.0,78.5,clay,flowering,LOW
29.0,63.2,8.9,59.7,sandy,vegetative,LOW
19.7,47.3,0.0,56.4,sandy,flowering,MEDIUM
33.1,86.4,0.0,58.6,loamy,flowering,MEDIUM
41.8,53.9,23.5,54.8,sandy,vegetative,LOW
36.0,77.8,14.0,66.9,clay,flowering,LOW
27.3,25.8,23.0,68.7,sandy,fruiting,LOW
33.2,56.4,1.8,57.8,loamy,fruiting,MEDIUM
20.2,59.6,10.5,43.5,sandy,flowering,LOW
21.4,78.3,3.3,44.1,sandy,vegetative,MEDIUM
20.0,94.1,35.3,65.3,clay,flowering,LOW
36.7,64.1,0.0,42.7,clay,fruiting,MEDIUM
19.4,33.3,0.0,48.0,clay,fruiting,MEDIUM
24.9,85.8,15.3,66.3,loamy,vegetative,LOW
19.8,63.8,4.9,92.6,sandy,fruiting,LOW
32.0,88.1,7.8,91.5,sandy,seedling,LOW
24.7,38.2,0.0,56.2,sandy,vegetative,MEDIUM
25.4,82.0,6.6,31.3,clay,vegetative,LOW
40.4,85.6,5.3,14.1,clay,fruiting,MEDIUM
41.3,83.9,0.0,40.3,clay,seedling,MEDIUM
36.5,91.1,0.0,45.3,loamy,fruiting,MEDIUM
23.5,72.0,3.3,80.5,clay,fruiting,LOW
30.5,84.7,0.0,58.3,clay,flowering,MEDIUM
34.9,39.9,0.0,22.8,clay,seedling,MEDIUM
39.7,49.4,2.8,12.8,clay,seedling,HIGH
29.0,93.6,0.0,54.2,clay,flowering,LOW
22.4,49.2,0.0,40.5,clay,flowering,MEDIUM
22.2,31.2,0.0,85.4,sandy,flowering,MEDIUM
18.9,81.0,5.8,52.6,loamy,vegetative,LOW
37.3,77.4,0.0,15.3,loamy,seedling,HIGH
29.1,77.3,7.5,95.0,clay,flowering,LOW
20.6,56.3,0.0,38.4,clay,vegetative,LOW
20.9,87.3,0.0,51.4,clay,seedling,LOW
32.1,77.2,0.0,62.4,clay,flowering,MEDIUM
26.5,94.1,0.0,37.4,clay,vegetative,LOW
22.5,45.0,0.0,54.9,sandy,flowering,MEDIUM
20.7,52.8,0.0,59.0,sandy,seedling,MEDIUM
40.3,64.0,0.0,27.1,clay,flowering,MEDIUM
30.2,42.0,0.0,45.7,loamy,seedling,MEDIUM
30.8,28.6,16.6,77.9,sandy,flowering,LOW
24.1,72.7,0.0,60.4,loamy,vegetative,LOW
37.9,92.6,0.0,43.8,sandy,vegetative,MEDIUM
31.8,83.9,0.0,53.0,clay,seedling,MEDIUM
34.0,61.6,13.8,19.0,sandy,fruiting,MEDIUM
29.1,46.1,10.0,70.5,sandy,vegetative,LOW
39.8,68.7,0.0,47.2,sandy,fruiting,HIGH
32.9,62.3,0.0,60.2,clay,vegetative,LOW
18.8,64.9,13.8,56.2,loamy,fruiting,LOW
37.1,35.5,1.5,51.4,sandy,vegetative,HIGH
24.0,49.2,0.0,61.8,clay,flowering,LOW
21.7,66.0,11.1,60.9,loamy,flowering,LOW
34.7,89.6,3.7,75.8,loamy,fruiting,LOW
40.4,89.8,6.1,46.7,sandy,vegetative,MEDIUM
32.2,52.9,0.0,27.5,sandy,seedling,HIGH
30.9,89.4,0.0,41.8,loamy,seedling,MEDIUM
21.4,37.3,0.0,83.3,clay,vegetative,LOW
18.3,71.4,0.0,95.0,clay,vegetative,LOW
19.6,77.5,0.0,49.4,sandy,seedling,MEDIUM
31.6,29.6,0.0,68.5,clay,seedling,LOW
